round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
32,9,9,"[1.1664047241210938, 1.133238136768341, 1.6578596830368042, 1.1391415297985077, 1.67819544672966, 1.1264335811138153, 1.1746130883693695, 1.153307169675827, 1.1394547522068024]",7,"[0.9761904761904762, 0.9603174603174603, 0.05555555555555555, 0.9523809523809523, 0.007936507936507936, 0.9920634920634921, 0.9523809523809523, 0.9603174603174603, 0.9682539682539683]","[0.9773049645390071, 0.9810874704491725, 0.9744680851063829, 0.9843971631205674, 0.9768321513002364, 0.9801418439716312, 0.9839243498817967, 0.9839243498817967, 0.9806146572104019]",0.7583774250440918,0.9802994483845546,0.9815602836879432,0.150007963180542
33,9,8,"[1.2103345394134521, 1.709227979183197, 1.115787535905838, 1.68289315700531, 1.131077766418457, 1.6864100098609924, 1.1326504349708557, 1.675487220287323]",8,"[0.9523809523809523, 0.03968253968253968, 0.9682539682539683, 0.05555555555555555, 0.9761904761904762, 0.015873015873015872, 0.9603174603174603, 0.023809523809523808]","[0.968321513002364, 0.9806146572104019, 0.9843971631205674, 0.9773049645390071, 0.9839243498817967, 0.9791962174940898, 0.9839243498817967, 0.9791962174940898]",0.4990079365079365,0.9796099290780143,0.9796690307328605,0.16361689567565918
34,10,6,"[1.1346794664859772, 1.6452890634536743, 1.6647064089775085, 1.6454590857028961, 1.6438510119915009, 1.698900431394577]",12,"[0.9682539682539683, 0.015873015873015872, 0.023809523809523808, 0.023809523809523808, 0.03968253968253968, 0.023809523809523808]","[0.9829787234042553, 0.975886524822695, 0.9763593380614657, 0.9787234042553191, 0.9763593380614657, 0.9801418439716312]",0.18253968253968253,0.978408195429472,0.9777777777777777,0.11260485649108887
35,9,9,"[1.1504138708114624, 1.1807195842266083, 1.1726995706558228, 1.5968887507915497, 1.6313782036304474, 1.617949903011322, 1.6562047004699707, 1.1790822446346283, 1.6524764895439148]",12,"[0.9841269841269841, 0.9761904761904762, 0.9920634920634921, 0.031746031746031744, 0.047619047619047616, 0.031746031746031744, 0.03968253968253968, 0.9682539682539683, 0.023809523809523808]","[0.9768321513002364, 0.9829787234042553, 0.9810874704491725, 0.9721040189125295, 0.9725768321513002, 0.975886524822695, 0.9763593380614657, 0.9839243498817967, 0.9754137115839243]",0.455026455026455,0.9774625689519305,0.9768321513002364,0.22899293899536133
36,8,11,"[1.1694069802761078, 1.108159065246582, 1.6163727641105652, 1.1965340673923492, 1.5895233750343323, 1.1932841539382935, 1.1697037816047668, 1.1995078921318054, 1.190796583890915, 1.1726938486099243, 1.5995810329914093]",9,"[0.9603174603174603, 0.9920634920634921, 0.015873015873015872, 0.9920634920634921, 0.015873015873015872, 0.9841269841269841, 0.9444444444444444, 0.9920634920634921, 0.9603174603174603, 0.9761904761904762, 0.031746031746031744]","[0.983451536643026, 0.983451536643026, 0.9787234042553191, 0.9815602836879432, 0.9721040189125295, 0.9825059101654846, 0.9825059101654846, 0.9801418439716312, 0.9825059101654846, 0.9801418439716312, 0.9754137115839243]",0.7150072150072151,0.9802278100150441,0.9806146572104019,0.13283586502075195
37,9,11,"[1.1450009047985077, 1.105202704668045, 1.6219408512115479, 1.6620973944664001, 1.176425814628601, 1.6154530346393585, 1.1802218854427338, 1.168966680765152, 1.6802648305892944, 1.1440887749195099, 1.1606868207454681]",7,"[0.9920634920634921, 0.9920634920634921, 0.05555555555555555, 0.031746031746031744, 0.9761904761904762, 0.015873015873015872, 0.9920634920634921, 0.9841269841269841, 0.007936507936507936, 0.9920634920634921, 0.9603174603174603]","[0.9754137115839243, 0.9711583924349881, 0.966903073286052, 0.9825059101654846, 0.9853427895981087, 0.9782505910165484, 0.9858156028368794, 0.9853427895981087, 0.9815602836879432, 0.9829787234042553, 0.9843971631205674]",0.6363636363636364,0.9799699118848054,0.9815602836879432,0.19546008110046387
38,10,9,"[1.1874974071979523, 1.1668066084384918, 1.6578993201255798, 1.1542737185955048, 1.6451093554496765, 1.1493234932422638, 1.13292396068573, 1.154579907655716, 1.6442501544952393]",8,"[0.9761904761904762, 0.9603174603174603, 0.023809523809523808, 0.9682539682539683, 0.031746031746031744, 0.9761904761904762, 0.9682539682539683, 0.9841269841269841, 0.031746031746031744]","[0.9754137115839243, 0.984869976359338, 0.9791962174940898, 0.984869976359338, 0.9815602836879432, 0.9858156028368794, 0.9839243498817967, 0.984869976359338, 0.9796690307328605]",0.6578483245149911,0.9822432361439453,0.9843971631205674,0.29456615447998047
39,10,6,"[1.1448180675506592, 1.1324920058250427, 1.135224848985672, 1.6997021734714508, 1.6920448243618011, 1.1818597912788391]",12,"[0.9841269841269841, 0.9761904761904762, 0.9920634920634921, 0.015873015873015872, 0.007936507936507936, 0.9761904761904762]","[0.9853427895981087, 0.984869976359338, 0.9853427895981087, 0.983451536643026, 0.9839243498817967, 0.9886524822695035]",0.6587301587301587,0.985263987391647,0.9853427895981087,0.1456000804901123
40,9,7,"[1.1169949769973755, 1.1010590493679047, 1.1367028653621674, 1.1064980924129486, 1.0980899035930634, 1.146889328956604, 1.7479718923568726]",14,"[0.9920634920634921, 1.0, 0.9603174603174603, 0.9523809523809523, 0.9920634920634921, 1.0, 0.007936507936507936]","[0.984869976359338, 0.9877068557919622, 0.9900709219858156, 0.9900709219858156, 0.9877068557919622, 0.9895981087470449, 0.9862884160756501]",0.8435374149659864,0.9880445795339413,0.9891252955082742,0.1099998950958252
41,7,8,"[1.129375159740448, 1.1330632269382477, 1.1409019827842712, 1.1239936351776123, 1.1221458911895752, 1.7755681574344635, 1.1110155582427979, 1.7534041106700897]",13,"[0.9841269841269841, 0.9761904761904762, 0.9761904761904762, 0.9682539682539683, 0.9920634920634921, 0.023809523809523808, 0.9841269841269841, 0.007936507936507936]","[0.9839243498817967, 0.9839243498817967, 0.984869976359338, 0.984869976359338, 0.9900709219858156, 0.9900709219858156, 0.9905437352245863, 0.9895981087470449]",0.7390873015873016,0.9872340425531915,0.9872340425531915,0.16196894645690918
42,10,8,"[1.1634867191314697, 1.1121813356876373, 1.132314771413803, 1.111629694700241, 1.102723479270935, 1.0520906746387482, 1.1304268836975098, 1.7087710797786713]",15,"[0.9761904761904762, 0.9761904761904762, 0.9841269841269841, 0.9920634920634921, 0.9523809523809523, 0.9920634920634921, 0.9841269841269841, 0.03968253968253968]","[0.9853427895981087, 0.9891252955082742, 0.9900709219858156, 0.9900709219858156, 0.9900709219858156, 0.984869976359338, 0.9895981087470449, 0.9858156028368794]",0.8621031746031745,0.9881205673758866,0.9891252955082742,0.10738611221313477
43,8,11,"[1.1215549409389496, 1.0887356102466583, 1.0863438844680786, 1.7251260578632355, 1.083041936159134, 1.0757391452789307, 1.7509914636611938, 1.7195477187633514, 1.7597512602806091, 1.6910761296749115, 1.0771712064743042]",12,"[0.9841269841269841, 0.9841269841269841, 0.9841269841269841, 0.015873015873015872, 0.9841269841269841, 0.9920634920634921, 0.007936507936507936, 0.007936507936507936, 0.007936507936507936, 0.023809523809523808, 0.9920634920634921]","[0.9853427895981087, 0.9895981087470449, 0.9900709219858156, 0.9867612293144208, 0.9895981087470449, 0.9895981087470449, 0.9891252955082742, 0.9867612293144208, 0.9895981087470449, 0.9867612293144208, 0.9895981087470449]",0.5440115440115441,0.9884375671609713,0.9886524822695035,0.3115839958190918
44,8,8,"[1.1516183614730835, 1.143522948026657, 1.731723964214325, 1.113573580980301, 1.6898188889026642, 1.0893390476703644, 1.086485207080841, 1.087830811738968]",12,"[0.9682539682539683, 0.9761904761904762, 0.031746031746031744, 0.9682539682539683, 0.015873015873015872, 0.9841269841269841, 0.9920634920634921, 1.0]","[0.9801418439716312, 0.9905437352245863, 0.9877068557919622, 0.9895981087470449, 0.9886524822695035, 0.9895981087470449, 0.9895981087470449, 0.9900709219858156]",0.7420634920634921,0.9882387706855793,0.9895981087470449,0.2520570755004883
